Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Chandigarh,41,Medium,Butter,Amul,63.65,369.85,23540.9525,40,Refrigerated,283,59.45,16824.35,Chandigarh,Retail,86,74.36,35.84
Rajasthan,51,Medium,Buttermilk,Mother Dairy,81.43,331.01,26954.1443,8,Refrigerated,68,82.6,5616.8,Gujarat,Online,263,61.18,187.3
Kerala,55,Medium,Paneer,Mother Dairy,61.06,323.55,19755.963,14,Refrigerated,106,60.86,6451.16,Rajasthan,Online,217,22.57,33.28
Bihar,12,Medium,Curd,Amul,49.48,782.49,38717.6052,5,Refrigerated,177,45.5,8053.5,Delhi,Wholesale,605,33.75,86.74
Maharashtra,89,Small,Ice Cream,Palle2patnam,10.76,758.83,8165.0108,29,Frozen,241,14.3,3446.3,Delhi,Online,517,96.17,101.28
Haryana,55,Medium,Ice Cream,Palle2patnam,71.46,286.69,20486.8674,25,Frozen,200,68.37,13674,Haryana,Retail,86,50.8,156.35
Chandigarh,42,Medium,Lassi,Amul,40.94,923.96,37826.9224,12,Refrigerated,786,45.9,36077.4,Maharashtra,Retail,137,13.15,140.27
Gujarat,21,Medium,Yogurt,Mother Dairy,46.42,884.04,41037.1368,26,Frozen,452,50.23,22703.96,Tamil Nadu,Retail,432,63.98,52.26
Maharashtra,99,Small,Yogurt,Palle2patnam,96.05,519,49849.95,24,Frozen,86,99.5,8557,Kerala,Retail,433,82.64,67.77
West Bengal,32,Large,Milk,Amul,59.5,776.87,46223.765,1,Polythene Packet,550,61.3,33715,Bihar,Online,226,47.63,89.88
Chandigarh,10,Large,Lassi,Amul,63.7,64.22,4090.814,13,Refrigerated,46,59.17,2721.82,Jharkhand,Online,18,75.91,21.43
Bihar,13,Small,Cheese,Amul,57.38,461.61,26487.1818,63,Frozen,371,55.56,20612.76,Madhya Pradesh,Wholesale,90,45.42,67.93
Chandigarh,16,Large,Butter,Warana,50.82,717.33,36454.7106,35,Refrigerated,579,55.68,32238.72,Bihar,Wholesale,138,31.01,171.34
Kerala,84,Small,Butter,Warana,77.07,946.41,72939.8187,30,Refrigerated,561,79.03,44335.83,Telangana,Retail,385,71.32,126.31
Haryana,47,Large,Lassi,Mother Dairy,84.64,656.86,55596.6304,18,Refrigerated,429,84,36036,Telangana,Online,227,76.79,22.95
Delhi,67,Medium,Buttermilk,Sudha,86.84,536.09,46554.0556,13,Refrigerated,316,86.3,27270.8,Uttar Pradesh,Retail,220,32.68,161.74
Madhya Pradesh,72,Medium,Yogurt,Palle2patnam,34.32,398.22,13666.9104,24,Refrigerated,154,31.58,4863.32,Kerala,Online,244,37.26,162.23
Telangana,29,Large,Curd,Raj,11.57,440.06,5091.4942,5,Refrigerated,391,13.06,5106.46,Chandigarh,Wholesale,49,19.07,79.27
Jharkhand,61,Large,Yogurt,Dodla Dairy,59.32,854.92,50713.8544,24,Frozen,108,55.44,5987.52,Maharashtra,Retail,746,52.16,34.25
West Bengal,37,Small,Butter,Mother Dairy,69.3,545.57,37808.001,35,Frozen,74,66.89,4949.86,Gujarat,Online,471,86.26,58.48
Kerala,66,Medium,Yogurt,Palle2patnam,94.53,820.95,77604.4035,26,Frozen,819,95.5,78214.5,Maharashtra,Wholesale,1,54.43,63.82
Jharkhand,48,Medium,Ghee,Amul,17.03,86.38,1471.0514,66,Ambient,58,19.96,1157.68,Karnataka,Retail,28,46.15,134.94
Kerala,88,Medium,Milk,Raj,56.06,416.52,23350.1112,28,Tetra Pack,276,53.4,14738.4,Telangana,Wholesale,140,59.63,95.02
Madhya Pradesh,32,Small,Paneer,Amul,53.1,459.36,24392.016,13,Refrigerated,277,52.63,14578.51,Rajasthan,Online,182,58.12,31.78
West Bengal,100,Large,Ice Cream,Palle2patnam,48.94,615.01,30098.5894,25,Frozen,399,52.89,21103.11,Chandigarh,Retail,216,83.37,161.06
Chandigarh,98,Medium,Paneer,Sudha,95.72,723.37,69240.9764,10,Refrigerated,177,96.81,17135.37,Rajasthan,Online,546,69.69,59.18
Jharkhand,61,Large,Buttermilk,Raj,31.23,727.6,22722.948,13,Refrigerated,309,34.93,10793.37,Kerala,Retail,418,87.61,26.09
Telangana,27,Small,Buttermilk,Sudha,78,842.56,65719.68,11,Refrigerated,211,75.4,15909.4,Rajasthan,Retail,631,21.66,100.32
Delhi,98,Large,Buttermilk,Raj,56.48,512.5,28946,8,Refrigerated,504,60.63,30557.52,Uttar Pradesh,Wholesale,8,95.1,134.83
Bihar,30,Small,Paneer,Raj,46.38,952.14,44160.2532,10,Refrigerated,926,48.37,44790.62,Rajasthan,Online,26,13.13,95.47
Karnataka,78,Medium,Ghee,Sudha,59.24,463.97,27485.5828,92,Ambient,1,63.79,63.79,Chandigarh,Wholesale,462,62.2,70.91
Haryana,97,Medium,Buttermilk,Raj,30.98,503.23,15590.0654,9,Refrigerated,302,34.76,10497.52,Delhi,Retail,201,29.51,192.1
Madhya Pradesh,84,Large,Yogurt,Amul,31.07,272.71,8473.0997,26,Refrigerated,231,28.61,6608.91,Bihar,Wholesale,41,10.7,62.85
Telangana,90,Small,Curd,Amul,33.85,905.36,30646.436,5,Refrigerated,640,30.88,19763.2,Delhi,Retail,265,82.32,186.66
Haryana,25,Small,Paneer,Raj,72.49,20.77,1505.6173,11,Refrigerated,13,75.31,979.03,Gujarat,Retail,7,42.7,188.31
Kerala,96,Large,Curd,Sudha,34.51,796.65,27492.3915,5,Refrigerated,7,32.61,228.27,Chandigarh,Retail,789,96.8,114.5
Uttar Pradesh,87,Medium,Milk,Mother Dairy,33.07,210.11,6948.3377,23,Tetra Pack,32,32.77,1048.64,Rajasthan,Retail,178,96.49,56.35
Maharashtra,31,Large,Ice Cream,Amul,74.65,233.8,17453.17,21,Frozen,167,76.96,12852.32,Chandigarh,Wholesale,66,74.37,134.33
Kerala,69,Large,Milk,Sudha,78.61,785.16,61721.4276,2,Polythene Packet,90,74.1,6669,Telangana,Wholesale,695,60.77,42.52
Rajasthan,59,Large,Buttermilk,Raj,83.26,649.7,54094.022,13,Refrigerated,563,80.35,45237.05,Madhya Pradesh,Retail,86,22.78,184.88
Uttar Pradesh,88,Small,Ice Cream,Amul,48.88,790.85,38656.748,28,Frozen,722,50.89,36742.58,Haryana,Retail,68,67.3,47.61
Bihar,58,Large,Lassi,Amul,73.51,913.82,67174.9082,16,Refrigerated,323,71.89,23220.47,Gujarat,Wholesale,590,94.16,142.36
Kerala,25,Small,Butter,Amul,38.94,435.51,16958.7594,35,Refrigerated,21,41.71,875.91,Bihar,Retail,414,49.62,115.79
Maharashtra,42,Medium,Ice Cream,Palle2patnam,96.98,232.16,22514.8768,21,Frozen,196,92.9,18208.4,Delhi,Online,36,10.32,111.56
Madhya Pradesh,78,Small,Milk,Sudha,96.69,495.25,47885.7225,21,Tetra Pack,411,95.54,39266.94,Tamil Nadu,Wholesale,84,74.82,189.27
Chandigarh,19,Small,Paneer,Raj,38.41,430.59,16538.9619,8,Refrigerated,250,43.39,10847.5,Maharashtra,Wholesale,180,34.15,23.9
Madhya Pradesh,77,Large,Lassi,Sudha,74.26,326.85,24271.881,13,Refrigerated,310,79.11,24524.1,Haryana,Online,16,90.97,59.27
Delhi,84,Large,Milk,Amul,83.9,949.82,79689.898,24,Tetra Pack,622,81.86,50916.92,Bihar,Online,327,41.13,156.97
Rajasthan,49,Large,Ghee,Raj,13.93,508.72,7086.4696,131,Ambient,237,12.61,2988.57,Haryana,Wholesale,271,37.34,128.2
Karnataka,31,Medium,Yogurt,Mother Dairy,40.05,669.74,26823.087,24,Frozen,255,40.1,10225.5,West Bengal,Retail,414,33.29,173.94
Madhya Pradesh,73,Medium,Milk,Amul,97.59,306.48,29909.3832,2,Polythene Packet,29,93.23,2703.67,West Bengal,Retail,277,44.21,107.88
Bihar,56,Medium,Ghee,Sudha,61.56,730.2,44951.112,141,Ambient,11,64.27,706.97,Maharashtra,Retail,719,67.78,105.62
Chandigarh,47,Large,Lassi,Sudha,58.35,487.46,28443.291,17,Refrigerated,414,61.26,25361.64,Jharkhand,Online,73,42.39,149.78
Karnataka,25,Medium,Yogurt,Mother Dairy,68.86,692.74,47702.0764,21,Refrigerated,22,68.86,1514.92,Kerala,Wholesale,670,63.08,119.33
Maharashtra,36,Small,Curd,Sudha,72.19,66.32,4787.6408,5,Refrigerated,65,73.59,4783.35,Chandigarh,Retail,1,90.3,72.17
Delhi,68,Small,Yogurt,Palle2patnam,88.47,446.4,39493.008,22,Frozen,269,85.06,22881.14,Chandigarh,Wholesale,177,97.73,100.03
Chandigarh,76,Small,Lassi,Sudha,47.36,184.92,8757.8112,16,Refrigerated,153,48.72,7454.16,Gujarat,Online,31,15.6,180.52
Jharkhand,42,Medium,Milk,Raj,47.13,754.71,35569.4823,1,Polythene Packet,462,49.07,22670.34,Telangana,Online,292,77.78,96.38
Uttar Pradesh,100,Large,Paneer,Mother Dairy,65.14,410.84,26762.1176,11,Refrigerated,226,62.44,14111.44,Chandigarh,Wholesale,184,77.65,107.81
Telangana,28,Small,Cheese,Amul,10.41,115.3,1200.273,43,Refrigerated,82,6.77,555.14,Chandigarh,Retail,33,30.32,176.3
Maharashtra,12,Medium,Butter,Parag Milk Foods,38.59,849.92,32798.4128,37,Refrigerated,256,40.09,10263.04,Tamil Nadu,Online,593,36.62,85.87
Rajasthan,19,Medium,Lassi,Raj,40.88,814.38,33291.8544,15,Refrigerated,481,40.55,19504.55,Chandigarh,Retail,333,65.01,53.95
Haryana,67,Small,Curd,Sudha,16.06,499.31,8018.9186,6,Refrigerated,15,15.67,235.05,Chandigarh,Retail,484,81.45,100.71
West Bengal,83,Large,Curd,Amul,73.31,194.04,14225.0724,6,Refrigerated,44,72.28,3180.32,Rajasthan,Wholesale,150,84.29,112.44
Maharashtra,30,Small,Paneer,Mother Dairy,38.78,300.62,11658.0436,12,Refrigerated,60,35.63,2137.8,West Bengal,Online,240,50.29,94.68
Gujarat,32,Medium,Ghee,Sudha,68.52,234.57,16072.7364,117,Ambient,112,64.53,7227.36,Uttar Pradesh,Wholesale,122,12.8,60.75
Uttar Pradesh,86,Medium,Ice Cream,Palle2patnam,93.05,204.1,18991.505,23,Frozen,98,94.33,9244.34,Madhya Pradesh,Wholesale,106,29.77,25.36
Madhya Pradesh,60,Large,Buttermilk,Amul,26.77,31.09,832.2793,13,Refrigerated,30,31.06,931.8,Haryana,Wholesale,1,26.46,161.3
Chandigarh,91,Small,Yogurt,Dodla Dairy,30.34,370.74,11248.2516,24,Refrigerated,121,26.77,3239.17,Chandigarh,Wholesale,249,18.33,101.73
Bihar,63,Large,Ghee,Sudha,48.8,442.2,21579.36,66,Ambient,301,47.99,14444.99,Karnataka,Retail,141,66.86,150
Uttar Pradesh,16,Large,Ghee,Mother Dairy,15.19,187.79,2852.5301,85,Ambient,8,17.12,136.96,Gujarat,Retail,179,84.5,106.45
Gujarat,70,Large,Ghee,Raj,96.31,270.21,26023.9251,81,Ambient,217,91.62,19881.54,Madhya Pradesh,Retail,53,69.98,183.24
Haryana,70,Large,Paneer,Mother Dairy,19.2,788.45,15138.24,7,Refrigerated,134,23.81,3190.54,West Bengal,Retail,654,92.11,119.48
Jharkhand,10,Small,Lassi,Mother Dairy,81.7,456.81,37321.377,13,Refrigerated,117,79.79,9335.43,Telangana,Retail,339,58.28,35.9
Gujarat,66,Small,Lassi,Raj,66.31,594.21,39402.0651,17,Refrigerated,136,62.03,8436.08,Maharashtra,Online,458,69.8,28.27
Gujarat,22,Small,Lassi,Amul,31.25,665.07,20783.4375,18,Refrigerated,44,35.03,1541.32,Delhi,Online,621,12.82,108.62
Jharkhand,81,Medium,Cheese,Britannia Industries,40.48,724.92,29344.7616,46,Frozen,695,44.37,30837.15,Delhi,Online,29,98.36,154.86
Tamil Nadu,10,Large,Paneer,Raj,32.64,829.83,27085.6512,8,Refrigerated,651,29.6,19269.6,Maharashtra,Online,178,37.02,52.82
Gujarat,16,Small,Butter,Parag Milk Foods,98.08,436.35,42797.208,26,Frozen,133,100.43,13357.19,Delhi,Retail,303,82.62,193.98
Karnataka,62,Small,Butter,Mother Dairy,37.8,199.89,7555.842,29,Frozen,193,33.52,6469.36,Haryana,Retail,6,36.83,67.96
Rajasthan,90,Medium,Cheese,Britannia Industries,77.72,159.33,12383.1276,81,Frozen,144,82.38,11862.72,West Bengal,Online,15,56.54,76.45
Chandigarh,46,Medium,Buttermilk,Amul,81.44,103.55,8433.112,10,Refrigerated,17,78.16,1328.72,Jharkhand,Wholesale,86,64.89,151.64
Jharkhand,61,Small,Ghee,Raj,68.21,938.27,63999.3967,109,Ambient,419,64.82,27159.58,Delhi,Online,519,67.97,150.6
Kerala,72,Small,Milk,Amul,89.78,605.73,54382.4394,1,Polythene Packet,492,94.68,46582.56,West Bengal,Wholesale,113,51.66,148.66
Jharkhand,89,Small,Cheese,Britannia Industries,26.38,292.97,7728.5486,82,Frozen,132,23.63,3119.16,Delhi,Retail,160,65.82,197.4
Tamil Nadu,36,Medium,Yogurt,Dodla Dairy,35.61,968.17,34476.5337,25,Frozen,842,37.29,31398.18,Maharashtra,Online,126,83.32,42.57
Maharashtra,46,Small,Milk,Mother Dairy,95.77,912.1,87351.817,2,Polythene Packet,148,94.95,14052.6,Delhi,Online,764,47.65,105.42
Maharashtra,75,Small,Paneer,Raj,19.47,739.64,14400.7908,14,Refrigerated,239,15.74,3761.86,Telangana,Online,500,70.71,112.03
Delhi,96,Large,Yogurt,Palle2patnam,51.68,820.1,42382.768,24,Frozen,385,50.05,19269.25,Bihar,Retail,435,62.57,108.02
West Bengal,20,Large,Lassi,Amul,67.65,773.61,52334.7165,13,Refrigerated,597,67.5,40297.5,Maharashtra,Wholesale,176,97.77,118.32
Bihar,85,Small,Cheese,Britannia Industries,14.42,655.72,9455.4824,26,Refrigerated,329,11.6,3816.4,Kerala,Online,326,27.59,90.87
Maharashtra,30,Large,Milk,Mother Dairy,84.61,909.03,76913.0283,30,Tetra Pack,443,85.52,37885.36,Bihar,Wholesale,466,61.92,80.24
West Bengal,54,Small,Cheese,Britannia Industries,28.02,829.91,23254.0782,55,Frozen,757,32.36,24496.52,Maharashtra,Retail,72,84.27,70.29
Delhi,30,Large,Curd,Mother Dairy,95.23,224.6,21388.658,6,Refrigerated,19,91.61,1740.59,Tamil Nadu,Online,205,15.95,82.19
Telangana,56,Small,Paneer,Amul,66.37,277.21,18398.4277,11,Refrigerated,267,70.91,18932.97,West Bengal,Retail,10,65.1,107.02
Kerala,16,Small,Lassi,Mother Dairy,15.81,757.12,11970.0672,15,Refrigerated,177,12.38,2191.26,Chandigarh,Wholesale,580,19.44,74.84
Haryana,33,Medium,Milk,Amul,48.67,842.01,40980.6267,23,Tetra Pack,668,47.24,31556.32,Chandigarh,Retail,174,40.56,121.29
Chandigarh,46,Large,Ghee,Amul,69.97,834.79,58410.2563,69,Ambient,597,72.13,43061.61,Tamil Nadu,Wholesale,237,20.13,163.29
Uttar Pradesh,53,Medium,Ghee,Sudha,11.53,423.59,4883.9927,150,Ambient,118,15.52,1831.36,Telangana,Retail,305,52.32,122.58
Jharkhand,50,Small,Butter,Mother Dairy,49.58,502.18,24898.0844,38,Frozen,36,51.33,1847.88,Chandigarh,Online,466,45.49,148.01
Chandigarh,35,Small,Paneer,Mother Dairy,75.07,202.2,15179.154,13,Refrigerated,91,70.81,6443.71,Karnataka,Retail,111,12.2,35.18
Jharkhand,25,Large,Lassi,Sudha,84.28,741.95,62531.546,13,Refrigerated,251,89.27,22406.77,Uttar Pradesh,Wholesale,490,72.39,146.73
Rajasthan,85,Medium,Lassi,Sudha,28.8,356.66,10271.808,18,Refrigerated,32,28.92,925.44,Telangana,Retail,324,85.77,186.02
Chandigarh,17,Small,Milk,Raj,35.67,247.12,8814.7704,25,Tetra Pack,204,34.58,7054.32,Kerala,Online,43,56.69,89.35
Chandigarh,13,Large,Paneer,Raj,62.35,487.52,30396.872,7,Refrigerated,297,66.67,19800.99,Delhi,Wholesale,190,82.44,110.18
Delhi,76,Medium,Paneer,Sudha,55.17,607.04,33490.3968,14,Refrigerated,367,50.53,18544.51,Delhi,Retail,240,50.72,188.17
Madhya Pradesh,79,Medium,Yogurt,Dodla Dairy,35.14,70.27,2469.2878,24,Refrigerated,38,37.2,1413.6,Bihar,Retail,32,43.18,170.33
Rajasthan,68,Medium,Butter,Amul,89.92,776.61,69832.7712,27,Refrigerated,723,86.16,62293.68,Jharkhand,Wholesale,53,43.77,163.23
Gujarat,76,Large,Paneer,Mother Dairy,32.9,614.13,20204.877,13,Refrigerated,153,32.96,5042.88,Maharashtra,Retail,461,33.1,173.23
Madhya Pradesh,32,Large,Cheese,Dynamix Dairies,30.91,247.81,7659.8071,38,Frozen,107,35.52,3800.64,Kerala,Wholesale,140,44.02,158.88
Madhya Pradesh,85,Medium,Butter,Mother Dairy,61.14,30.64,1873.3296,27,Refrigerated,18,56.29,1013.22,Rajasthan,Wholesale,12,82.35,159.37
Jharkhand,34,Large,Milk,Mother Dairy,33.02,601.93,19875.7286,2,Polythene Packet,386,31.53,12170.58,Chandigarh,Online,215,16.4,40.17
Tamil Nadu,46,Medium,Yogurt,Amul,31.56,469.32,14811.7392,23,Frozen,192,35.18,6754.56,Maharashtra,Online,277,38.25,61.67
Haryana,21,Medium,Buttermilk,Amul,72.24,419.23,30285.1752,13,Refrigerated,176,71.71,12620.96,Maharashtra,Online,243,42.53,82.2
Tamil Nadu,91,Small,Ghee,Raj,53.46,886.48,47391.2208,61,Ambient,192,56.15,10780.8,Maharashtra,Retail,694,96.37,188.55
West Bengal,81,Large,Ice Cream,Mother Dairy,49.56,928.57,46019.9292,28,Frozen,778,53.39,41537.42,Delhi,Retail,150,92.41,83.7
Tamil Nadu,59,Large,Butter,Warana,90.54,686.59,62163.8586,34,Refrigerated,166,94.52,15690.32,Maharashtra,Online,520,65.03,166.89
Gujarat,11,Small,Cheese,Dynamix Dairies,91.1,34.5,3142.95,27,Frozen,14,88.63,1240.82,Delhi,Retail,20,15.37,137.63
Chandigarh,37,Small,Curd,Amul,56.68,127.22,7210.8296,7,Refrigerated,55,52.47,2885.85,Rajasthan,Retail,72,39.64,73.4
West Bengal,67,Large,Buttermilk,Sudha,24.6,419.67,10323.882,12,Refrigerated,86,27.42,2358.12,Rajasthan,Retail,333,55.37,78.69
Telangana,97,Large,Cheese,Dynamix Dairies,14.08,373.35,5256.768,44,Refrigerated,229,13.35,3057.15,Delhi,Wholesale,144,25.01,171.47
Haryana,31,Large,Lassi,Raj,12.08,763.48,9222.8384,18,Refrigerated,565,11.53,6514.45,Delhi,Retail,198,46.62,63.38
Gujarat,98,Medium,Ice Cream,Dodla Dairy,12.78,909.73,11626.3494,28,Frozen,424,8.13,3447.12,Uttar Pradesh,Wholesale,485,40.35,126.79
Delhi,93,Small,Ice Cream,Dodla Dairy,92.97,848.03,78841.3491,30,Frozen,441,90.81,40047.21,Bihar,Retail,407,87.6,107.27
Bihar,26,Medium,Butter,Amul,11.45,281.3,3220.885,31,Refrigerated,135,16.23,2191.05,Bihar,Online,146,65.01,22.34
Maharashtra,99,Large,Buttermilk,Amul,75.92,828.27,62882.2584,13,Refrigerated,634,79.85,50624.9,West Bengal,Retail,194,86.37,23.71
Jharkhand,87,Medium,Cheese,Dynamix Dairies,14.78,282.43,4174.3154,57,Frozen,80,11.33,906.4,Delhi,Retail,202,41.28,95.17
Chandigarh,99,Medium,Buttermilk,Amul,22.1,940.62,20787.702,11,Refrigerated,906,24.66,22341.96,Rajasthan,Wholesale,34,67.06,70.24
Delhi,77,Small,Paneer,Mother Dairy,56.54,307.33,17376.4382,7,Refrigerated,7,57.31,401.17,Tamil Nadu,Retail,300,23.62,23.93
Rajasthan,57,Small,Curd,Raj,41.38,298.76,12362.6888,6,Refrigerated,216,43.11,9311.76,Delhi,Wholesale,82,30.78,95.37
Maharashtra,52,Small,Paneer,Amul,97.56,245.72,23972.4432,8,Refrigerated,5,93.59,467.95,Gujarat,Retail,240,48.17,183.95
Maharashtra,25,Small,Paneer,Mother Dairy,27.05,45.09,1219.6845,14,Refrigerated,39,28.93,1128.27,West Bengal,Retail,6,17.05,130.02
Telangana,34,Small,Lassi,Mother Dairy,96.13,186.92,17968.6196,12,Refrigerated,45,98.16,4417.2,Chandigarh,Online,141,14.4,141.46
Madhya Pradesh,49,Medium,Curd,Mother Dairy,84.12,328.37,27622.4844,6,Refrigerated,95,84.25,8003.75,Jharkhand,Retail,233,19.87,83.15
Jharkhand,58,Medium,Milk,Sudha,98.87,475.09,46972.1483,29,Tetra Pack,272,102.79,27958.88,Maharashtra,Online,203,50.18,21.39
Tamil Nadu,75,Large,Milk,Mother Dairy,28.75,723.83,20810.1125,2,Polythene Packet,191,25.47,4864.77,Jharkhand,Wholesale,532,31.38,41.66
Bihar,28,Small,Cheese,Dynamix Dairies,65.72,43.17,2837.1324,60,Refrigerated,42,70.57,2963.94,Gujarat,Wholesale,1,37.29,44.03
Chandigarh,92,Small,Buttermilk,Amul,41.91,462.95,19402.2345,9,Refrigerated,223,46.35,10336.05,Karnataka,Wholesale,239,83.03,112.46
Tamil Nadu,80,Small,Cheese,Passion Cheese,60.45,498.23,30118.0035,75,Frozen,225,57.28,12888,Jharkhand,Online,273,84.4,95.54
Uttar Pradesh,45,Large,Yogurt,Palle2patnam,17.98,12.3,221.154,26,Frozen,12,19.15,229.8,Jharkhand,Wholesale,0,43.51,98.48
Chandigarh,45,Large,Ghee,Raj,28.05,75.67,2122.5435,130,Ambient,38,32.46,1233.48,Delhi,Wholesale,37,15.09,146.4
Uttar Pradesh,91,Large,Buttermilk,Raj,30.44,119.49,3637.2756,11,Refrigerated,6,30.35,182.1,Rajasthan,Online,113,94.21,141.36
Delhi,46,Large,Yogurt,Palle2patnam,47.29,250.06,11825.3374,29,Refrigerated,98,44.74,4384.52,Telangana,Wholesale,152,28.81,183.67
Delhi,87,Small,Yogurt,Palle2patnam,48.2,10.4,501.28,27,Refrigerated,9,46.68,420.12,Chandigarh,Wholesale,1,54.97,106.19
Madhya Pradesh,73,Small,Cheese,Britannia Industries,13.07,103.28,1349.8696,25,Refrigerated,51,16.27,829.77,Bihar,Online,52,46.47,173.77
Gujarat,12,Small,Cheese,Passion Cheese,84.63,442.02,37408.1526,66,Frozen,438,86.46,37869.48,Delhi,Wholesale,4,16.42,85.23
Bihar,13,Large,Yogurt,Amul,46.83,602.96,28236.6168,25,Frozen,257,45.9,11796.3,West Bengal,Wholesale,345,77.59,88.45
Jharkhand,16,Small,Buttermilk,Raj,43.79,540,23646.6,9,Refrigerated,290,43.17,12519.3,Kerala,Retail,250,14.41,32.21
Haryana,60,Medium,Milk,Raj,32.19,479.73,15442.5087,2,Polythene Packet,449,28.55,12818.95,Haryana,Wholesale,30,23.48,173.97
Haryana,54,Large,Ghee,Mother Dairy,65.45,243.39,15929.8755,95,Ambient,152,60.82,9244.64,Kerala,Retail,91,82.89,135.17
Bihar,37,Medium,Ghee,Raj,84.23,625.81,52711.9763,150,Ambient,290,80.4,23316,Jharkhand,Online,335,90.52,131.08
Chandigarh,54,Medium,Lassi,Raj,26.49,701.6,18585.384,18,Refrigerated,679,26.63,18081.77,Tamil Nadu,Retail,22,97.04,43.21
Telangana,17,Small,Yogurt,Palle2patnam,34.56,152.88,5283.5328,21,Frozen,95,36.77,3493.15,Chandigarh,Retail,57,86.69,136.08
Madhya Pradesh,74,Large,Buttermilk,Mother Dairy,78.27,224.4,17563.788,9,Refrigerated,200,80.2,16040,Tamil Nadu,Wholesale,24,27.75,122.21
Bihar,57,Medium,Cheese,Amul,65.15,209.17,13627.4255,45,Refrigerated,121,69.99,8468.79,Maharashtra,Retail,88,46.56,188.1
Rajasthan,11,Medium,Curd,Amul,96.06,951.04,91356.9024,6,Refrigerated,163,96.29,15695.27,West Bengal,Retail,788,70.05,167.2
Bihar,50,Large,Paneer,Sudha,50.2,778.25,39068.15,9,Refrigerated,635,47.1,29908.5,Karnataka,Online,143,22.27,161.89
Kerala,11,Large,Yogurt,Palle2patnam,79.47,895.74,71184.4578,27,Refrigerated,272,82.86,22537.92,Chandigarh,Wholesale,623,35.38,44.99
Maharashtra,11,Small,Cheese,Dynamix Dairies,60.06,786.2,47219.172,82,Refrigerated,544,56.31,30632.64,Bihar,Online,242,16.67,80.49
Rajasthan,94,Medium,Paneer,Raj,70.3,480.87,33805.161,9,Refrigerated,292,67.95,19841.4,Uttar Pradesh,Wholesale,188,61.51,145.13
Kerala,42,Large,Ghee,Sudha,53.11,197.25,10475.9475,89,Ambient,132,57.82,7632.24,Tamil Nadu,Retail,65,20.77,125.64
Telangana,99,Large,Paneer,Raj,44.05,98.19,4325.2695,8,Refrigerated,58,40.85,2369.3,Delhi,Online,40,28.87,144.09
Tamil Nadu,23,Medium,Ice Cream,Amul,89.26,850.47,75912.9522,23,Frozen,659,90.65,59738.35,Jharkhand,Wholesale,191,21.76,22.55
Delhi,46,Small,Ghee,Amul,56.6,217.19,12292.954,127,Ambient,193,54.87,10589.91,Chandigarh,Wholesale,24,21.65,96.28
Delhi,92,Medium,Yogurt,Amul,36.44,447.59,16310.1796,27,Refrigerated,81,32.53,2634.93,Karnataka,Wholesale,366,24.65,124.08
Delhi,32,Small,Buttermilk,Amul,83.55,128.53,10738.6815,9,Refrigerated,54,78.75,4252.5,Rajasthan,Retail,74,79.78,126.91
Maharashtra,49,Large,Curd,Sudha,45.04,212.47,9569.6488,5,Refrigerated,149,40.22,5992.78,Karnataka,Wholesale,63,81.77,78.59
Delhi,38,Medium,Milk,Mother Dairy,71.11,313.84,22317.1624,2,Polythene Packet,24,75.84,1820.16,Delhi,Wholesale,289,85.32,127.18
Karnataka,98,Small,Buttermilk,Mother Dairy,83.5,505.82,42235.97,13,Refrigerated,142,79.59,11301.78,Jharkhand,Online,363,56.09,175.1
Maharashtra,22,Medium,Yogurt,Dodla Dairy,29.45,775.23,22830.5235,22,Frozen,683,28.98,19793.34,Telangana,Online,92,64.3,100.09
Delhi,42,Small,Yogurt,Palle2patnam,98.36,430.18,42312.5048,25,Frozen,193,102.31,19745.83,Delhi,Retail,237,35.06,84.01
Uttar Pradesh,47,Small,Curd,Raj,71.55,118.09,8449.3395,5,Refrigerated,82,71.06,5826.92,Rajasthan,Online,36,81.97,49.19
Karnataka,59,Medium,Butter,Warana,29.73,798.54,23740.5942,39,Frozen,722,25.04,18078.88,West Bengal,Online,76,67.29,186.91
West Bengal,17,Large,Paneer,Sudha,35.81,198.24,7098.9744,14,Refrigerated,160,36.59,5854.4,West Bengal,Wholesale,38,18.3,172.81
Maharashtra,54,Small,Butter,Warana,43.29,821.77,35574.4233,32,Frozen,776,47.92,37185.92,Delhi,Wholesale,45,62.18,168.12
Maharashtra,21,Small,Butter,Warana,76.12,257.57,19606.2284,27,Frozen,74,80.93,5988.82,Rajasthan,Retail,183,39.68,122.43
Bihar,22,Large,Yogurt,Amul,76.36,301.18,22998.1048,29,Frozen,62,75.7,4693.4,Rajasthan,Wholesale,239,82.13,48.95
Delhi,21,Medium,Ghee,Mother Dairy,68.11,581.52,39607.3272,131,Ambient,141,70.17,9893.97,Delhi,Retail,440,50.56,78.65
Uttar Pradesh,39,Medium,Ghee,Raj,57.76,297.77,17199.1952,118,Ambient,188,54.9,10321.2,Chandigarh,Online,109,13.24,144.56
Madhya Pradesh,98,Medium,Milk,Raj,74.56,861.63,64243.1328,2,Polythene Packet,583,71.46,41661.18,Jharkhand,Wholesale,278,15.43,187.01
